period  Demand
1	29
2	43
3	40
4	55
5	75
6	65
7	75
8	47
9	77
10	61
11	56
12	53
13	18
14	42
15	50
16	36
17	50
18	65
19	33
20	66
21	79
22	38
23	75
24	53
25	66
26	45
27	60
28	35
29	52
30	41
31	67
32	22
33	76
34	38
35	62
36	40
37	51
38	34
39	70
40	68
41	64
42	15
43	45
44	45
45	36
46	78
47	81
48	54
49	47
50	61
51	58
52	32
53	54
54	49
55	29
56	63
57	44
58	56
59	64
60	49
61	57
62	47
63	52
64	52
65	62
66	62
67	55
68	50
69	55
70	60
71	51
72	61
73	73
74	52
75	60
76	49
77	58
78	70
79	27
80	57
81	52
82	50
83	33
84	53
85	54
86	60
87	57
88	57
89	63
90	64
91	62
92	58
93	42
94	33
95	50
96	59
97	48
98	62
99	41
100	41
